pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4
571,경기,여자,61,만60세 이상,대학 졸업,천주교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,4명,1천만원 이상 1천 5백만원 미만,10억원 이상,중상층,8,미래통합당,NA,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,2,3,1
628,서울,여자,59,만50세~만59세,고등학교 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,4억원~7억원 미만,중하층,5 중도,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,2,2
3327,충남,여자,52,만50세~만59세,고등학교 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,300만원 이상 400만원 미만,5천만원 미만,중하층,4,국민의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,3,2
33544,부산,남자,53,만50세~만59세,대학 졸업,불교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,3명,700만원 이상 1천만원 미만,4억원~7억원 미만,중간층,6,열린민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,3,2
41184,경기,여자,62,만60세 이상,고등학교 졸업,개신교,다른 직업,임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,4명,600만원 이상 700만원 미만,1억원~2억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,2,3,2
52686,인천,남자,44,만40세~만49세,대학 졸업,천주교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,500만원 이상 600만원 미만,2억원~3억원 미만,중하층,4,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
55783,서울,여자,53,만50세~만59세,고등학교 졸업,다른 종교,다른 직업,임금근로자,일용근로자 (계약기간 1개월 미만),비정규직,배우자 있음,있다,없다,없다,3명,100만원 이상 200만원 미만,5천만원 미만,최하층,5 중도,더불어민주당,NA,5천원으로 줄임,모르겠다,1만원 그대로,1만원 그대로,2,1,2,1
58279,서울,여자,47,만40세~만49세,대학 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,700만원 이상 1천만원 미만,4억원~7억원 미만,중간층,4,지지하는 정당이 없음,더불어민주당,5만원으로 늘림,1만원 그대로,5만원으로 늘림,1만원 그대로,2,2,2,1
62784,서울,여자,39,만30세~만39세,대학원 재학 중,천주교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,있다,없다,4명,700만원 이상 1천만원 미만,4억원~7억원 미만,중상층,6,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
64310,울산,남자,61,만60세 이상,중학교 졸업 이하,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,일용근로자 (계약기간 1개월 미만),비정규직,배우자 있음,있다,없다,있다,4명,500만원 이상 600만원 미만,1억원~2억원 미만,중하층,4,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,2,2
