pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,A001,B1,B2,B3,B4,B5_1,B5_2,B5_3,B5_4,B5_5,B6,B7_1,B7_2,B8_1,B8_2,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B9_7,B9_8,B9_9,B9_10,B9_11,B10,B11,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3,D4,D5_1,D5_2,D5_3,D5_4,D6,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E2_8,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E3_12,E3_13,E3_14,E3_15,E3_16,E4_1,E4_2,E4_3,E4_4,E4_5,E5_1,E5_2,E5_3,E5_4,E6_1,E6_2,E6_3,E7_1,E7_2,E7_3,E7_4,E7_5,F1,F2,G1,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,H1_1,H1_2,H1_3,H1_4,H1_5,H1_6,H1_7,H2_1,H2_2,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H3_8,H3_9,H3_10,H4_1,H4_2,H4_3,H4_4,H4_5,H4_6,H5_1,H5_2,H5_3,H5_4,H5_5,H5_6,H5_7,H6_1,H6_2,H7,H8,H9,H9_1,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I2_1,I2_2,I2_3,I2_4,I2_5,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,M3_1,M3_2,M3_3,M3_4,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N2_4,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ9_1,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4,X,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,WT
571,8,2,61,6,4,2,2,2,2,2,5,4,4,5,5,2,70,3,3,2,3,3,3,4,4,3,2,2,2,5,3,4,1,2,4,4,4,4,4,4,3,4,1,4,3,2,1,1,1,2,2,4,4,2,6,5,4,4,9,7,3,9,8,7,7,7,4,5,5,2,3,3,2,3,4,4,4,1,2,3,1,2,3,4,3,3,3,3,2,2,5,5,2,2,3,4,3,3,3,2,3,2,9,2,2,3,3,3,3,3,2,4,2,3,3,4,4,3,3,4,3,2,4,4,5,5,3,2,2,2,3,2,3,2,3,3,2,2,4,4,3,3,4,4,3,4,4,4,4,4,1,1,3,2,2,4,1,4,6,5,3,4,2,4,5,5,2,2,3,50,50,25,50,25,25,25,1,1,1,1,1,1,1,1,1,1,6,3,2,5,4,5,4,3,5,6,5,5,4,3,6,5,6,5,6,5,3,2,3,3,2,3,3,3,3,2,3,4,3,2,3,3,8, , , ,2,1,2,2,4, ,9,9,2,8,2, ,2,1,2,2,2,2,3,1,1,2,6,2,2,6,7,3,1,1,2,1.00077537419091
628,1,2,59,5,2,1,2,2,5,2,5,4,5,4,5,3,20,1,2,2,2,4,5,5,5,2,2,3,2,1,2,2,1,1,4,4,4,2,3,4,4,4,4,4,1,1,1,1,2,2,2,8,7,5,5,4,8,5,6,6,6,10,6,5,5,5,2,6,5,2,2,2,2,3,3,4,4,3,3,2,1,2,3,4,3,2,3,4,3,2,1,2,3,2,3,4,4,3,3,3,2,2,5,2,3,3,4,3,3,3,2,2,1,2,4,3,4,3,3,1,3,3,3,3,2,3,3,4,1,1,3,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,2,1,2,2,4,3,6,7,6,6,6,6,5,3,4,3,3,2,75,75,50,50,0,50,50,2,1,1,1,1,1,1,2,1,1,6,4,5,3,3,3,5,2,6,5,5,6,6,6,6,6,6,7,6,6,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,8, , , ,2,1,2,2,2, ,5,6,4,5,6, ,2,2,2,2,3,3,2,2,1,2,5,1,1,6,4,2,1,1,4,.993131125847806
3327,11,2,52,5,2,1,3,3,4,4,5,5,5,5,5,3,50,2,3,1,2,3,4,4,4,3,1,5,3,3,3,4,9,1,4,4,4,2,3,2,2,2,1,2,4,3,2,2,2,2,2,2,6,3,2,4,3,3,5,2,5,7,5,5,5,3,2,1,3,2,3,3,2,3,3,4,3,3,3,3,4,3,3,3,2,2,4,3,4,4,5,5,3,4,4,4,4,3,4,2,2,2,4,2,2,9,2,3,9,3,3,3,3,4,4,4,4,4,4,1,2,5,4,3,1,4,2,1,5,2,3,1,5,3,4,5,2,1,4,3,3,3,3,3,2,1,1,2,3,3,3,2,1,2,4,3,2,6,6,6,5,4,6,3,4,3,2,3,2,20,20,20,20,0,10,10,2,2,1,1,1,1,1,1,1,1,6,5,4,4,5,2,3,2,5,5,4,3,4,5,5,4,5,4,3,4,2,3,2,2,1,1,2,4,3,2,3,4,3,2,3,3,8, , , ,2,1,2,2,3, ,4,1,4,4,8, ,2,2,2,2,2,3,3,2,1,2,5,3,1,6,3,1,2,2,5,.989649763436265
33544,2,1,53,5,4,3,1,1,2,1,3,4,3,2,4,2,80,2,3,4,4,3,3,2,3,3,1,3,2,2,2,2,1,1,4,4,3,2,2,2,2,1,3,1,2,2,2,2,2,2,2,10,8,5,0,0,7,3,5,5,7,10,8,7,5,7,5,7,7,2,1,2,2,3,2,5,5,2,3,2,1,2,3,3,2,1,2,3,2,3,2,2,3,2,2,4,2,3,3,3,3,3,8,4,2,2,4,2,3,2,2,4,2,4,4,2,4,4,2,1,1,5,3,1,1,1,3,4,2,2,3,1,4,2,3,3,2,1,3,2,2,1,3,4,2,2,2,1,2,1,3,2,2,2,3,2, ,7,5,6,6,6,5,5,2,2,5,4,5,25,90,70,80,60,25,50,1,1,1,2,1,1,1,1,1,1,4,5,3,2,3,2,3,1,7,6,2,2,5,3,5,4,5,3,6,6,2,2,2,3,4,2,2,4,2,3,5,2,4,4,4,4,5,1,1,1,2,1,2,2,3, ,8,6,3,6,10, ,2,2,2,2,2,3,3,2,1,1,5,6,2,5,7,3,1,1,6,.883554134278403
41184,8,2,62,6,2,1,3,2,4,3,3,4,4,4,4,4,50,1,2,2,2,3,4,3,2,3,2,3,2,3,2,2,1,2,4,4,4,3,2,2,2,2,2,2,2,2,1,1,2,2,2,7,7,5,6,6,5,5,7,5,5,9,6,6,6,5,3,5,3,2,2,2,2,3,3,3,3,2,2,3,2,3,3,5,3,2,2,3,2,2,4,4,4,4,2,3,3,3,3,3,3,3,6,3,1,2,4,2,3,2,2,3,3,4,4,4,4,3,4,2,3,3,3,4,2,4,3,3,3,2,2,1,2,1,3,3,2,1,3,2,2,2,2,2,2,3,3,4,4,2,2,3,1,1,3,3,3,6,6,4,4,4,6,4,4,4,3,2,5,50,75,50,50,0,50,50,2,2,2,2,2,1,1,2,2,2,5,5,4,3,3,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,3,2,2,2,2,2,2,4,2,2,1,5,2,2,2,2,10,1,1,1,2,1,2,2,4, ,7,3,4,5,98,98,2,2,2,2,3,2,3,2,1,2,6,2,1,8,6,2,2,1,99,1.00077537419091
52686,4,1,44,4,4,2,1,1,3,3,3,3,3,4,4,3,50,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,1,9,3,3,4,4,3,3,3,3,3,3,9,9,2,2,2,2,2,10,9,0,2,1,5,0,5,0,5,10,9,5,5,5,1,1,5,2,1,2,1,5,3,5,5,2,3,2,2,2,3,3,3,1,4,3,2,3,4,5,4,3,3,3,3,2,3,3,2,2,4,4,1,2,3,2,3,2,3,3,2,3,4,2,3,2,2,2,1,4,3,3,2,2,5,4,3,2,2,1,3,2,2,3,2,1,3,3,3,2,2,4,1,1,1,2,2,2,3,2,1,2,9,3,2,7,6,6,3,6,4,7,3,2,4,5,5,50,50,25,50,50,50,25,2,2,1,1,1,1,1,2,1,1,6,5,4,3,4,4,5,4,5,5,5,5,4,3,5,4,3,5,4,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,5,1,1,1,2,1,2,1,3, ,6,4,4,4,6, ,2,2,2,2,2,2,2,2,1,1,4,2,2,5,5,1,1,1,4,.98233497817027
55783,1,2,53,5,2,4,2,1,2,1,4,3,3,5,5,3,60,1,1,3,4,2,3,4,4,2,2,2,1,1,1,1,1,1,4,4,4,4,2,2,2,1,2,1,1,1,2,2,2,2,1,10,10,5,0,0,5,0,0,4,5,10,10,10,5,7,5,0,4,1,1,1,1,3,1,5,5,2,5,4,1,3,2,4,2,1,4,4,2,1,3,2,3,2,4,4,4,3,4,9,3,4,1,1,9,1,4,1,4,1,3,2,2,2,2,2,4,4,1,4,2,5,5,2,2,5,9,5,1,1,2,2,1,1,3,3,3,3,3,3,3,3,3,3,9,3,2,1,2,1,9,3,2,2,2,9, ,7,7,7,3,7,5,6,3,2,4,3,5,0,75,50,50,0,25,50,1,1,1,1,1,1,1,2,2,1,7,7,3,5,5,5,6,2,4,7,7,5,7,7,5,2,6,7,6,5,2,2,1,1,1,1,1,4,1,1,4,3,2,2,2,3,10,1,3,2,2,1,2,2,3, ,2,1,5,5,1, ,1,9,2,2,2,1,2,1,1,2,5,1,1,8,1,2,1,1,1,.993131125847806
58279,1,2,47,4,4,1,2,2,2,2,3,3,2,3,4,2,20,2,3,2,2,2,3,3,3,3,1,2,2,3,1,2,1,2,4,4,4,3,4,3,4,4,4,4,2,2,1,1,2,2,2,7,6,4,1,4,4,6,5,5,2,9,5,5,5,5,5,5,4,1,2,3,1,4,3,5,3,2,3,3,2,3,3,3,2,2,3,4,2,2,3,3,4,3,3,3,3,3,4,3,3,3,5,3,9,9,9,9,2,9,3,3,1,4,3,3,4,3,2,9,2,3,2,3,3,4,4,2,2,1,4,2,3,2,5,5,4,3,3,2,2,2,3,4,2,2,3,3,2,3,2,3,1,2,3,3,3,5,6,5,4,5,5,5,3,3,3,4,3,30,65,75,40,0,40,40,2,2,2,2,1,1,1,1,1,1,3,5,3,2,4,4,4,4,5,6,6,5,5,6,5,4,6,5,4,4,2,2,2,2,2,2,1,4,1,2,2,5,1,1,2,3,5,1,1,1,2,1,2,1,3, ,8,6,3,4,98,1,3,2,3,2,2,2,2,1,1,2,4,1,2,5,7,1,1,1,1,.981075907769129
62784,1,2,39,3,5,2,3,2,2,3,4,5,4,5,5,3,50,2,3,1,2,3,4,3,4,2,3,3,3,1,1,3,2,1,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2,2,2,5,5,3,3,1,3,5,4,5,4,8,8,7,6,6,3,3,3,2,3,3,2,5,3,4,4,2,5,3,3,3,4,5,2,2,3,3,2,3,4,4,4,3,1,2,1,3,4,4,3,2,7,1,1,2,3,2,2,2,4,3,2,2,4,4,4,4,3,2,2,4,4,2,2,3,3,2,1,1,3,1,3,1,3,3,3,1,3,2,1,1,3,3,2,3,2,2,3,2,2,2,2,2,4,2, ,5,5,6,4,4,4,5,3,3,4,2,4,50,50,50,25,25,25,25,1,1,1,1,1,1,1,1,1,1,5,4,2,2,5,3,5,4,5,5,5,5,4,5,5,4,5,5,5,4,2,2,2,2,2,2,2,4,3,3,2,4,3,2,4,3,5,1,1,1,2,1,1,2,4, ,8,6,2,6,98,98,2,2,2,2,2,3,2,2,1,2,3,1,2,5,7,3,2,1,99,.931290647873143
64310,7,1,61,6,1,5,2,2,4,3,4,4,3,3,5,4,40,2,2,3,3,3,4,2,3,3,2,4,1,3,2,2,2,1,4,4,3,3,2,2,1,1,1, ,3,3,1,2,2,3,2,9,8,0,1,0,3,3,4,3,5,10,9,8,6,5,3,4,5,1,2,2,1,5,3,5,5,2,4,3,2,3,3,3,3,9,4,4,3,2,4,4,4,3,2,3,2,3,3,2,3,3,4,4,3,2,2,2,1,2,1,5,2,4,5,4,4,2,2,2,1,4,4,2,1,5,5,5,3,2,4,2,3,2,3,4,3,1,3,2,3,3,4,4,3,1,2,2,3,2,1,2,3,2,3,2, ,6,7,5,4,4,5,5,4,2,5,4,5,50,75,100,25,1,25,50,1,2,1,2,1,1,1,2,1,1,5,7,5,4,7,2,7,2,7,5,2,6,5,4,7,4,5,6,5,4,2,2,3,3,4,2,2,4,3,2,3,3,2,3,4,4,4,1,3,2,2,1,2,1,4, ,6,3,4,4,6, ,2,2,2,2,2,3,2,2,1,1,6,6,1,4,5,1,1,1,4,.827955966007178
