pid,BQ2,BQ3_n2,BQ4,B3,B5_1,B5_2,B5_3,B5_4,B5_5,E5_1,E5_2,E5_3,E5_4,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,BQ7,BQ9,BQ12_1,BQ12_2
571,2,6,4,2,4,4,5,5,2,5,5,2,2,4,6,5,3,4,2,4,50,50,25,50,25,25,25,1,1,1,1,1,1,1,1,1,1,6,3,2,5,4,5,4,3,5,6,5,5,4,3,6,5,6,5,6,5,3,2,3,3,2,1,4,9,9
628,2,5,2,2,4,5,4,5,3,1,2,3,2,6,7,6,6,6,6,5,75,75,50,50,0,50,50,2,1,1,1,1,1,1,2,1,1,6,4,5,3,3,3,5,2,6,5,5,6,6,6,6,6,6,7,6,6,2,2,2,2,2,1,2,5,6
3327,2,5,2,4,5,5,5,5,3,5,5,3,4,6,6,6,5,4,6,3,20,20,20,20,0,10,10,2,2,1,1,1,1,1,1,1,1,6,5,4,4,5,2,3,2,5,5,4,3,4,5,5,4,5,4,3,4,2,3,2,2,1,1,3,4,1
33544,1,5,4,1,4,3,2,4,2,2,2,3,2,7,5,6,6,6,5,5,25,90,70,80,60,25,50,1,1,1,2,1,1,1,1,1,1,4,5,3,2,3,2,3,1,7,6,2,2,5,3,5,4,5,3,6,6,2,2,2,3,4,1,3,8,6
41184,2,6,2,3,4,4,4,4,4,4,4,4,4,6,6,4,4,4,6,4,50,75,50,50,0,50,50,2,2,2,2,2,1,1,2,2,2,5,5,4,3,3,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,3,2,2,2,2,1,4,7,3
52686,1,4,4,3,3,3,4,4,3,4,5,4,3,7,6,6,3,6,4,7,50,50,25,50,50,50,25,2,2,1,1,1,1,1,2,1,1,6,5,4,3,4,4,5,4,5,5,5,5,4,3,5,4,3,5,4,3,3,2,3,3,3,1,3,6,4
55783,2,5,2,1,3,3,5,5,3,3,2,3,2,7,7,7,3,7,5,6,0,75,50,50,0,25,50,1,1,1,1,1,1,1,2,2,1,7,7,3,5,5,5,6,2,4,7,7,5,7,7,5,2,6,7,6,5,2,2,1,1,1,1,3,2,1
58279,2,4,4,2,3,2,3,4,2,3,3,4,3,5,6,5,4,5,5,5,30,65,75,40,0,40,40,2,2,2,2,1,1,1,1,1,1,3,5,3,2,4,4,4,4,5,6,6,5,5,6,5,4,6,5,4,4,2,2,2,2,2,1,3,8,6
62784,2,3,5,3,5,4,5,5,3,4,4,4,3,5,5,6,4,4,4,5,50,50,50,25,25,25,25,1,1,1,1,1,1,1,1,1,1,5,4,2,2,5,3,5,4,5,5,5,5,4,5,5,4,5,5,5,4,2,2,2,2,2,1,4,8,6
64310,1,6,1,3,4,3,3,5,4,4,4,4,3,6,7,5,4,4,5,5,50,75,100,25,1,25,50,1,2,1,2,1,1,1,2,1,1,5,7,5,4,7,2,7,2,7,5,2,6,5,4,7,4,5,6,5,4,2,2,3,3,4,1,4,6,3
67594,2,4,4,2,3,3,3,4,3,2,2,3,3,7,7,7,5,7,7,7,50,50,50,50,10,50,50,2,2,2,2,1,1,2,1,1,1,5,4,5,3,4,4,4,4,4,5,5,4,2,1,7,5,6,4,4,6,2,1,1,3,2,1,4,4,2
76259,1,4,4,3,2,1,2,2,2,2,3,3,2,7,5,6,7,5,3,3,25,75,100,50,10,5,5,2,2,2,2,2,1,1,2,1,1,3,2,3,1,1,2,2,2,2,3,2,3,3,4,3,4,3,2,3,3,2,3,3,3,2,1,3,4,1
79159,1,6,2,3,5,4,5,5,3,5,5,3,3,7,7,4,4,6,5,5,80,90,80,70,0,50,30,1,1,1,1,1,1,1,1,1,2,6,7,5,7,7,4,5,4,6,7,6,7,6,5,6,6,7,6,5,5,2,1,3,2,3,1,2,4,3
